symbol,side,chain_id,resource,thumb,contract,resource_type,maker,show_decimals,token_uri,token_id,price,collect_name,creator_status,decimals,name,taker,order_id,erc_type
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/eafd27cb7c316c7f61ec361992cbe987,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xf072eb58edd265ecf5d1b29b0f6ffa9785dbc92b,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/32672.json,32672,58000000000000000,ALPACA FINANCE,0,18,Alpaca Finance Fireside Chat,0x0000000000000000000000000000000000000000,240199,erc1155
BNB,1,56,https://dashboard.mypinata.cloud/ipfs/QmcgwYdp83t9nBkKG8iXW4UQhyoYjztrDGmdKPcJPMoHPk,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x42bfd91b57005b5efd0f1fc1990c55dc8a2e9f6e,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33653.json,33653,200000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,240189,erc1155
BNB,1,56,https://dashboard.mypinata.cloud/ipfs/QmcgwYdp83t9nBkKG8iXW4UQhyoYjztrDGmdKPcJPMoHPk,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xb733be65e4e15c8b074945cf8d86fafd3a5e39c7,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33656.json,33656,4495000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,240183,erc1155
BNB,1,56,https://dashboard.mypinata.cloud/ipfs/QmcgwYdp83t9nBkKG8iXW4UQhyoYjztrDGmdKPcJPMoHPk,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x3e7eaa58188f5c61e4f89fb6b131a68757ad693e,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33651.json,33651,1337000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,240180,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/a60e277e9ab3644f86e9c2caa68373ba.mp4,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,video,0x713a0452edb2973921dcc41e2fd1a13f61527d09,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/621.json,621,1350000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,240174,erc1155
BUSD,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/bd51b98a8308aa760f57e6a01adda4f8,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xda8379973ea04cdcbbfb7bdc9de3eeb9fc9c2bfc,2,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/18298.json,18298,30000000000000000000,ALPACA FINANCE,0,18,APE III - PhDPaca,0x0000000000000000000000000000000000000000,239959,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/db10ecbf81df04201f74ed987bfa11db,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x7099a8e492caba40e01de81ad182b57c5475e634,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/33329.json,33329,110000000000000000,ALPACA FINANCE,0,18,Binance x Alpaca Finance,0x0000000000000000000000000000000000000000,239953,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/bd51b98a8308aa760f57e6a01adda4f8,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x4f4b31c4650e708279113040b75fcf845cf22ecd,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/18574.json,18574,50000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,239842,erc1155
BUSD,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/f0c807050e932dfa2e976777b63fc143,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0xa04484e7b57bfb2a28138e5e133f403161659afd,2,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/25550.json,25550,4000000000000000000,ALPACA FINANCE,0,18,APE I - KinderPaca,0x0000000000000000000000000000000000000000,239602,erc1155
BNB,1,56,images/bsc/0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46/9244ad5adb907a579bac2109a3d2de90.png,,0xe85d7b8f4c0c13806e158a1c9d7dcb33140cdc46,image,0x9c3cf418c3960317046b86536346c298fead01c0,4,https://graphigo.prd.galaxy.eco/metadata/0xe85d7B8f4c0C13806E158a1c9D7Dcb33140cdc46/3817.json,3817,52000000000000000,ALPACA FINANCE,0,18,Alpaca Finance NFT by Project Galaxy,0x0000000000000000000000000000000000000000,239572,erc1155
